(0, 0, 0, 2)
(8, 8, 8, 2)
(13, 13, 13, 2)
(18, 18, 18, 3)
(20, 20, 20, 3)
(21, 21, 21, 2)
(25, 25, 25, 3)
(32, 32, 32, 3)
(39, 39, 39, 2)
(47, 47, 47, 2)
(52, 52, 52, 2)
(57, 57, 57, 3)
(59, 59, 59, 3)
(60, 60, 60, 2)
(64, 64, 64, 3)
(71, 71, 71, 2)
(76, 76, 76, 2)
(81, 81, 81, 2)
(85, 85, 85, 3)
(92, 92, 92, 3)
